Campaign,Ad Group,Headline 1,Headline 2,Headline 3,Description 1,Description 2,Final URL,Path 1,Path 2
"HOA & Community Rules – Informational","What happens if HOA fines go unpaid in California?","HOA fines go unpaid CA","California Real Estate Guide","Zyphe AI Insights","Learn about What happens if HOA fines go unpaid in California? in California. Timelines & ","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/what-happens-if-hoa-fines-go-unpaid-california","hoa","what-happens-if"
"HOA & Community Rules – Informational","Can an HOA place a lien on your home in CA?","Can an HOA place a lien on ...","California Real Estate Guide","Zyphe AI Insights","Learn about Can an HOA place a lien on your home in CA? in California. Timelines & legal f","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/hoa-lien-process-california","hoa","hoa-lien-proces"
"HOA & Community Rules – Informational","How long before HOA can foreclose in California?","How long before HOA can for...","California Real Estate Guide","Zyphe AI Insights","Learn about How long before HOA can foreclose in California? in California. Timelines & le","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/hoa-foreclosure-timeline-california","hoa","hoa-foreclosure"
"HOA & Community Rules – Informational","Can HOA increase dues without homeowner approval?","Can HOA increase dues witho...","California Real Estate Guide","Zyphe AI Insights","Learn about Can HOA increase dues without homeowner approval? in California. Timelines & l","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/can-hoa-increase-dues-without-homeowner-approval","hoa","can-hoa-increas"
"HOA & Community Rules – Informational","What is an HOA special assessment?","What is an HOA special asse...","California Real Estate Guide","Zyphe AI Insights","Learn about What is an HOA special assessment? in California. Timelines & legal frameworks","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/what-is-an-hoa-special-assessment","hoa","what-is-an-hoa-"
"HOA & Community Rules – Informational","Can HOA deny exterior changes?","Can HOA deny exterior changes","California Real Estate Guide","Zyphe AI Insights","Learn about Can HOA deny exterior changes? in California. Timelines & legal frameworks exp","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/can-hoa-deny-exterior-changes","hoa","can-hoa-deny-ex"
"HOA & Community Rules – Informational","Can HOA restrict rentals in California?","Can HOA restrict rentals CA","California Real Estate Guide","Zyphe AI Insights","Learn about Can HOA restrict rentals in California? in California. Timelines & legal frame","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/can-hoa-restrict-rentals-in-california","hoa","can-hoa-restric"
"HOA & Community Rules – Informational","What happens if you ignore HOA violation notices?","you ignore HOA violation no...","California Real Estate Guide","Zyphe AI Insights","Learn about What happens if you ignore HOA violation notices? in California. Timelines & l","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/what-happens-if-you-ignore-hoa-violation-notices","hoa","what-happens-if"
"HOA & Community Rules – Informational","Can HOA tow your car from your driveway?","Can HOA tow your car from y...","California Real Estate Guide","Zyphe AI Insights","Learn about Can HOA tow your car from your driveway? in California. Timelines & legal fram","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/can-hoa-tow-your-car-from-your-driveway","hoa","can-hoa-tow-you"
"HOA & Community Rules – Informational","HOA dispute process explained","HOA dispute process explained","California Real Estate Guide","Zyphe AI Insights","Learn about HOA dispute process explained in California. Timelines & legal frameworks expl","Free specialized guide for homeowners. Know your rights and responsibilities.","https://www.zyphe.com/hoa/hoa-dispute-process-explained","hoa","hoa-dispute-pro"
