Campaign,Ad Group,Keyword,Criterion Type,Final URL
"HOA & Community Rules – Informational","What happens if HOA fines go unpaid in California?","[what happens if hoa fines go unpaid california]","Exact","https://www.zyphe.com/hoa/what-happens-if-hoa-fines-go-unpaid-california"
"HOA & Community Rules – Informational","What happens if HOA fines go unpaid in California?",""what happens if hoa fines go unpaid california"","Phrase","https://www.zyphe.com/hoa/what-happens-if-hoa-fines-go-unpaid-california"
"HOA & Community Rules – Informational","What happens if HOA fines go unpaid in California?","[what happens if hoa fines go unpaid in california]","Exact","https://www.zyphe.com/hoa/what-happens-if-hoa-fines-go-unpaid-california"
"HOA & Community Rules – Informational","What happens if HOA fines go unpaid in California?",""what happens if hoa fines go unpaid in california"","Phrase","https://www.zyphe.com/hoa/what-happens-if-hoa-fines-go-unpaid-california"
"HOA & Community Rules – Informational","Can an HOA place a lien on your home in CA?","[hoa lien process california]","Exact","https://www.zyphe.com/hoa/hoa-lien-process-california"
"HOA & Community Rules – Informational","Can an HOA place a lien on your home in CA?",""hoa lien process california"","Phrase","https://www.zyphe.com/hoa/hoa-lien-process-california"
"HOA & Community Rules – Informational","How long before HOA can foreclose in California?","[hoa foreclosure timeline california]","Exact","https://www.zyphe.com/hoa/hoa-foreclosure-timeline-california"
"HOA & Community Rules – Informational","How long before HOA can foreclose in California?",""hoa foreclosure timeline california"","Phrase","https://www.zyphe.com/hoa/hoa-foreclosure-timeline-california"
"HOA & Community Rules – Informational","Can HOA increase dues without homeowner approval?","[can hoa increase dues without homeowner approval]","Exact","https://www.zyphe.com/hoa/can-hoa-increase-dues-without-homeowner-approval"
"HOA & Community Rules – Informational","Can HOA increase dues without homeowner approval?",""can hoa increase dues without homeowner approval"","Phrase","https://www.zyphe.com/hoa/can-hoa-increase-dues-without-homeowner-approval"
"HOA & Community Rules – Informational","What is an HOA special assessment?","[what is an hoa special assessment]","Exact","https://www.zyphe.com/hoa/what-is-an-hoa-special-assessment"
"HOA & Community Rules – Informational","What is an HOA special assessment?",""what is an hoa special assessment"","Phrase","https://www.zyphe.com/hoa/what-is-an-hoa-special-assessment"
"HOA & Community Rules – Informational","What is an HOA special assessment?","[what is an hoa special assessment california]","Exact","https://www.zyphe.com/hoa/what-is-an-hoa-special-assessment"
"HOA & Community Rules – Informational","What is an HOA special assessment?",""what is an hoa special assessment california"","Phrase","https://www.zyphe.com/hoa/what-is-an-hoa-special-assessment"
"HOA & Community Rules – Informational","Can HOA deny exterior changes?","[can hoa deny exterior changes]","Exact","https://www.zyphe.com/hoa/can-hoa-deny-exterior-changes"
"HOA & Community Rules – Informational","Can HOA deny exterior changes?",""can hoa deny exterior changes"","Phrase","https://www.zyphe.com/hoa/can-hoa-deny-exterior-changes"
"HOA & Community Rules – Informational","Can HOA restrict rentals in California?","[can hoa restrict rentals in california]","Exact","https://www.zyphe.com/hoa/can-hoa-restrict-rentals-in-california"
"HOA & Community Rules – Informational","Can HOA restrict rentals in California?",""can hoa restrict rentals in california"","Phrase","https://www.zyphe.com/hoa/can-hoa-restrict-rentals-in-california"
"HOA & Community Rules – Informational","What happens if you ignore HOA violation notices?","[what happens if you ignore hoa violation notices]","Exact","https://www.zyphe.com/hoa/what-happens-if-you-ignore-hoa-violation-notices"
"HOA & Community Rules – Informational","What happens if you ignore HOA violation notices?",""what happens if you ignore hoa violation notices"","Phrase","https://www.zyphe.com/hoa/what-happens-if-you-ignore-hoa-violation-notices"
"HOA & Community Rules – Informational","What happens if you ignore HOA violation notices?","[what happens if you ignore hoa violation notices california]","Exact","https://www.zyphe.com/hoa/what-happens-if-you-ignore-hoa-violation-notices"
"HOA & Community Rules – Informational","What happens if you ignore HOA violation notices?",""what happens if you ignore hoa violation notices california"","Phrase","https://www.zyphe.com/hoa/what-happens-if-you-ignore-hoa-violation-notices"
"HOA & Community Rules – Informational","Can HOA tow your car from your driveway?","[can hoa tow your car from your driveway]","Exact","https://www.zyphe.com/hoa/can-hoa-tow-your-car-from-your-driveway"
"HOA & Community Rules – Informational","Can HOA tow your car from your driveway?",""can hoa tow your car from your driveway"","Phrase","https://www.zyphe.com/hoa/can-hoa-tow-your-car-from-your-driveway"
"HOA & Community Rules – Informational","HOA dispute process explained","[hoa dispute process explained]","Exact","https://www.zyphe.com/hoa/hoa-dispute-process-explained"
"HOA & Community Rules – Informational","HOA dispute process explained",""hoa dispute process explained"","Phrase","https://www.zyphe.com/hoa/hoa-dispute-process-explained"
"HOA & Community Rules – Informational","HOA dispute process explained","[hoa dispute process explained california]","Exact","https://www.zyphe.com/hoa/hoa-dispute-process-explained"
"HOA & Community Rules – Informational","HOA dispute process explained",""hoa dispute process explained california"","Phrase","https://www.zyphe.com/hoa/hoa-dispute-process-explained"
"HOA & Community Rules – Informational","Can HOA fine without notice?","[can hoa fine without notice]","Exact","https://www.zyphe.com/hoa/can-hoa-fine-without-notice"
"HOA & Community Rules – Informational","Can HOA fine without notice?",""can hoa fine without notice"","Phrase","https://www.zyphe.com/hoa/can-hoa-fine-without-notice"
"HOA & Community Rules – Informational","What rights do homeowners have against HOA?","[what rights do homeowners have against hoa]","Exact","https://www.zyphe.com/hoa/what-rights-do-homeowners-have-against-hoa"
