Campaign,Ad Group,Max CPC,Ad Group Type,Status
"HOA & Community Rules – Informational","What happens if HOA fines go unpaid in California?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can an HOA place a lien on your home in CA?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","How long before HOA can foreclose in California?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA increase dues without homeowner approval?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","What is an HOA special assessment?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA deny exterior changes?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA restrict rentals in California?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","What happens if you ignore HOA violation notices?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA tow your car from your driveway?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","HOA dispute process explained",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA fine without notice?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","What rights do homeowners have against HOA?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","How HOA collections work",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","What happens after HOA sends a demand letter?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA charge late fees?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","HOA vs homeowner insurance responsibility",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","What documents govern HOA authority?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","Can HOA foreclose for unpaid dues?",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","How to request HOA records",0.38,"Standard","Enabled"
"HOA & Community Rules – Informational","HOA election and board powers explained",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Why was my homeowners insurance claim denied?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What happens after filing a homeowners claim?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","How long does an insurance investigation take?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What does an insurance adjuster do?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Replacement cost vs actual cash value",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Does filing a claim raise premiums?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What damages are excluded from homeowners insurance?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Can insurance cancel coverage after a claim?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What is subrogation in homeowners insurance?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What if insurance payout is less than repair cost?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Water damage vs flood damage explained",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Mold coverage explained",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Fire damage claim process",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What is loss of use coverage?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","How insurance depreciation works",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","When insurance disputes go to appraisal",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What happens if claim is delayed?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","What documents insurers request",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","Can you reopen a closed claim?",0.38,"Standard","Enabled"
"Homeowners Insurance – Informational","How insurance settlement timelines work",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","How long does escrow take in California?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens after escrow opens?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What delays escrow closing?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What does “clear to close” mean?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What is a preliminary title report?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","Common title defects explained",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","Can escrow close without repairs?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens if escrow doesn’t close on time?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","Who chooses the title company?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens if buyer backs out during escrow?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What is a final walkthrough?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","Can seller cancel escrow?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens if appraisal comes in low?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What contingencies protect buyers?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens after offer acceptance?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","Can seller refuse repairs?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","How escrow instructions work",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens at recording?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","What happens after closing?",0.38,"Standard","Enabled"
"Escrow, Title & Closing – Informational","How escrow fees are calculated",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","What happens if property taxes go unpaid?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","How long before a tax lien is placed?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","What is a supplemental tax bill in California?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","Why did my property taxes increase suddenly?",0.38,"Standard","Enabled"
"Property Taxes & Assessments – Informational","What triggers reassessment?",0.38,"Standard","Enabled"
